序号,代码,名称,最新价,涨跌额,涨跌幅,今开,最高,最低,昨收,成交量,成交额
1,09890,中旭未来,14.98,1.86,14.18,13.12,15.56,12.9,13.12,37552608,536359008.0
2,01093,石药集团,8.86,1.0,12.72,7.9,9.01,7.79,7.86,471708432,3970962528.0
3,03939,万国黄金集团,30.0,3.15,11.73,27.0,30.0,26.65,26.85,8028790,231483926.0
4,02419,德康农牧,75.0,7.45,11.03,69.0,76.0,61.9,67.55,3998918,280183376.0
5,02157,乐普生物-B,5.1,0.5,10.87,4.59,5.24,4.47,4.6,42341000,210805050.0
6,01548,金斯瑞生物科技,14.62,1.18,8.78,13.56,14.64,13.28,13.44,46792899,655901888.0
7,01024,快手-W,59.1,4.6,8.44,54.75,59.65,54.5,54.5,155364645,9025149440.0
8,09885,药师帮,10.88,0.84,8.37,10.04,11.28,9.89,10.04,20325600,217611677.0
9,02507,西锐,38.1,2.7,7.63,36.0,39.8,36.0,35.4,6042700,229264915.0
10,03868,信义能源,1.06,0.07,7.07,1.0,1.14,0.98,0.99,53349953,57413770.0
11,06655,华新水泥,8.94,0.51,6.05,8.46,9.13,8.38,8.43,2699185,23847168.0
12,09699,顺丰同城,14.98,0.78,5.49,14.2,15.06,14.2,14.2,5979430,88061879.0
13,01208,五矿资源,3.29,0.17,5.45,3.13,3.34,3.13,3.12,106574896,349215136.0
14,02981,富智康集团(旧),9.6,0.46,5.03,9.17,9.6,9.16,9.14,308400,2899836.0
15,01888,建滔积层板,9.8,0.45,4.81,9.37,9.8,9.33,9.35,10728000,103109406.0
16,01341,昊天国际建投,0.44,0.02,4.76,0.425,0.445,0.415,0.42,33888000,14535000.0
17,02186,绿叶制药,2.94,0.13,4.63,2.81,3.0,2.71,2.81,162681000,470901088.0
18,01860,汇量科技,6.27,0.27,4.5,6.08,6.52,5.96,6.0,65819892,413900400.0
19,03311,中国建筑国际,11.84,0.5,4.41,11.34,11.96,11.34,11.34,6398469,75444016.0
20,01858,春立医疗,11.18,0.44,4.1,10.96,11.46,10.54,10.74,956250,10499520.0
21,02162,康诺亚-B,47.8,1.85,4.03,45.95,48.0,45.15,45.95,3181957,149813539.0
22,00014,希慎兴业,14.04,0.54,4.0,13.62,14.04,13.46,13.5,8706480,120978047.0
23,02038,富智康集团(新),9.5,0.36,3.94,9.28,9.55,9.1,9.14,1905625,17861296.0
24,02005,石四药集团,2.92,0.11,3.91,2.8,2.98,2.8,2.81,30184000,87876600.0
25,01530,三生制药,20.2,0.76,3.91,19.5,20.85,19.26,19.44,60111006,1207624096.0
26,09688,再鼎医药,29.65,1.1,3.85,28.55,29.7,27.7,28.55,12083487,350115744.0
27,02338,潍柴动力,15.8,0.58,3.81,15.38,15.8,15.26,15.22,14164628,221159522.0
28,00586,海螺创业,9.22,0.33,3.71,8.9,9.37,8.9,8.89,13809641,127191559.0
29,03990,美的置业,4.2,0.15,3.7,4.0,4.23,4.0,4.05,2629400,10953067.0
30,01072,东方电气,12.54,0.44,3.64,12.18,12.6,12.1,12.1,2836800,35211519.0
31,02099,中国黄金国际,69.15,2.4,3.6,66.75,71.8,66.15,66.75,5024543,350046256.0
32,01579,颐海国际,14.06,0.48,3.53,13.58,14.7,13.58,13.58,7272378,103334705.0
33,02158,医渡科技,6.51,0.22,3.5,6.37,6.63,6.21,6.29,25226130,162268164.0
34,00683,嘉里建设,18.98,0.64,3.49,18.4,18.98,18.1,18.34,5139390,96331396.0
35,03993,洛阳钼业,6.83,0.23,3.48,6.7,6.93,6.68,6.6,56737281,387937472.0
36,01258,中国有色矿业,6.35,0.21,3.42,6.18,6.39,6.13,6.14,16296176,102932283.0
37,00358,江西铜业股份,14.62,0.48,3.39,14.26,14.64,14.24,14.14,20283123,295414704.0
38,02410,同源康医药-B,23.7,0.75,3.27,23.2,23.7,22.55,22.95,599500,13866375.0
39,01083,港华智慧能源,3.59,0.11,3.16,3.45,3.6,3.45,3.48,8755332,30989668.0
40,00412,山高控股,14.52,0.44,3.13,14.08,14.78,14.08,14.08,12102036,173883685.0
41,03933,联邦制药,15.34,0.46,3.09,14.84,15.58,14.84,14.88,9195700,140278620.0
42,00272,瑞安房地产,0.67,0.02,3.08,0.65,0.67,0.65,0.65,6761950,4481926.0
43,01798,大唐新能源,2.35,0.07,3.07,2.26,2.36,2.26,2.28,7949000,18510549.0
44,06088,FIT HON TENG,2.4,0.07,3.0,2.3,2.53,2.26,2.33,118942000,285237888.0
45,09969,诺诚健华,11.78,0.34,2.97,11.44,11.86,11.12,11.44,12493062,144133128.0
46,01065,天津创业环保股份,3.6,0.1,2.86,3.5,3.65,3.5,3.5,2904000,10437320.0
47,03692,翰森制药,27.2,0.75,2.84,26.5,27.4,26.4,26.45,8176370,220784024.0
48,01378,中国宏桥,14.58,0.4,2.82,14.26,14.66,14.22,14.18,27985575,406009440.0
49,01951,锦欣生殖,2.95,0.08,2.79,2.89,2.99,2.86,2.87,65475968,191841518.0
50,00004,九龙仓集团,22.55,0.6,2.73,21.7,22.55,21.7,21.95,1176658,26335377.0
51,02386,中石化炼化工程,5.81,0.15,2.65,5.63,5.88,5.63,5.66,4393586,25442775.0
52,02343,太平洋航运,1.95,0.05,2.63,1.91,1.99,1.91,1.9,28480500,56075885.0
53,02402,亿华通,23.75,0.6,2.59,23.7,25.6,23.6,23.15,1568248,38554297.0
54,00975,MONGOL MINING,6.35,0.16,2.58,6.22,6.4,6.22,6.19,2139632,13484253.0
55,00148,建滔集团,24.0,0.6,2.56,23.2,24.0,23.15,23.4,2277523,54118940.0
56,00303,VTECH HOLDINGS,55.15,1.35,2.51,54.0,55.15,53.7,53.8,2262561,123877634.0
57,00551,裕元集团,10.78,0.26,2.47,10.54,10.78,10.44,10.52,13153938,140525009.0
58,01071,华电国际电力股份,4.56,0.11,2.47,4.47,4.57,4.44,4.45,12462000,56208270.0
59,00314,思派健康,4.05,0.09,2.27,4.04,4.12,3.86,3.96,14438200,57724966.0
60,02899,紫金矿业,18.34,0.4,2.23,18.12,18.54,18.02,17.94,58297883,1070515232.0
61,00189,东岳集团,9.27,0.2,2.21,9.1,9.59,9.1,9.07,16693641,155459327.0
62,02208,金风科技,6.57,0.14,2.18,6.43,6.62,6.38,6.43,9282367,60459533.0
63,02431,佑驾创新,26.6,0.55,2.11,27.85,29.45,26.5,26.05,3317621,93784828.0
64,00867,康哲药业,10.68,0.22,2.1,10.32,10.84,10.32,10.46,16912636,179263862.0
65,03320,华润医药,5.35,0.11,2.1,5.24,5.39,5.23,5.24,12515700,66484908.0
66,01908,建发国际集团,15.04,0.3,2.04,15.18,15.18,14.54,14.74,6598700,98430482.0
67,00322,康师傅控股,13.12,0.26,2.02,12.88,13.14,12.88,12.86,9852781,128722542.0
68,06990,科伦博泰生物-B,338.4,6.6,1.99,331.8,344.0,328.0,331.8,1180800,396756208.0
69,01855,中庆股份,8.76,0.17,1.98,8.39,8.76,8.3,8.59,904000,7702708.0
70,01972,太古地产,18.56,0.36,1.98,18.2,18.58,18.16,18.2,3338357,61412241.0
71,02378,保诚,93.0,1.8,1.97,91.7,93.0,91.5,91.2,301149,27749848.0
72,06693,赤峰黄金,28.9,0.55,1.94,28.35,29.35,28.15,28.35,12568004,363295760.0
73,00916,龙源电力,6.84,0.13,1.94,6.75,6.9,6.71,6.71,29211690,200079870.0
74,02465,龙蟠科技,6.38,0.12,1.92,6.3,6.88,6.21,6.26,32594500,213448735.0
75,00836,华润电力,21.3,0.4,1.91,20.7,21.45,20.7,20.9,22119035,469495104.0
76,01789,爱康医疗,6.0,0.11,1.87,5.89,6.04,5.86,5.89,3216000,19075520.0
77,01477,欧康维视生物-B,7.66,0.14,1.86,7.62,7.7,7.4,7.52,3340000,25204010.0
78,03369,秦港股份,2.21,0.04,1.84,2.17,2.23,2.17,2.17,731000,1612820.0
79,02192,医脉通,14.42,0.26,1.84,13.8,14.56,13.7,14.16,3630500,51480862.0
80,02314,理文造纸,2.23,0.04,1.83,2.19,2.23,2.19,2.19,7850172,17391302.0
81,09979,绿城管理控股,2.83,0.05,1.8,2.78,2.84,2.78,2.78,4674500,13200925.0
82,00995,安徽皖通高速公路,12.52,0.22,1.79,12.4,12.52,12.3,12.3,938296,11649842.0
83,02096,先声药业,12.48,0.22,1.79,12.26,12.62,11.84,12.26,17690829,216007642.0
84,01883,中信国际电讯,2.34,0.04,1.74,2.31,2.35,2.3,2.3,7263952,16969557.0
85,01818,招金矿业,20.6,0.35,1.73,20.25,21.1,19.94,20.25,13049002,269698944.0
86,02268,药明合联,41.7,0.7,1.71,41.4,42.1,40.2,41.0,4277066,176642969.0
87,01117,现代牧业,1.19,0.02,1.71,1.17,1.2,1.16,1.17,23236000,27406670.0
88,02600,中国铝业,4.78,0.08,1.7,4.71,4.78,4.7,4.7,26841053,127515586.0
89,06049,保利物业,30.75,0.5,1.65,30.35,30.9,30.15,30.25,907800,27718190.0
90,01088,中国神华,33.8,0.55,1.65,33.25,34.1,33.15,33.25,26149644,883676832.0
91,03877,中国船舶租赁,1.85,0.03,1.65,1.83,1.85,1.81,1.82,3400000,6225140.0
92,00012,恒基地产,24.7,0.4,1.65,24.55,24.9,24.45,24.3,9441142,233315726.0
93,02388,中银香港,34.2,0.55,1.63,33.7,34.6,33.6,33.65,21330575,729598592.0
94,00300,美的集团,76.2,1.2,1.6,75.1,76.2,74.85,75.0,12072115,916155216.0
95,01361,361度,4.49,0.07,1.58,4.41,4.5,4.4,4.42,5544000,24710387.0
96,02588,中银航空租赁,64.25,1.0,1.58,62.95,64.25,62.95,63.25,1187407,75700549.0
97,00991,大唐发电,1.95,0.03,1.56,1.91,1.96,1.91,1.92,13262000,25845873.0
98,09633,农夫山泉,39.55,0.6,1.54,39.15,40.05,39.1,38.95,6843069,271222560.0
99,00220,统一企业中国,10.56,0.16,1.54,10.46,10.78,10.46,10.4,14328750,151919115.0
100,06690,海尔智家,23.25,0.35,1.53,22.9,23.25,22.75,22.9,44768751,1035538096.0
101,03606,福耀玻璃,57.05,0.85,1.51,56.5,57.5,56.05,56.2,2298394,131152823.0
102,00363,上海实业控股,12.3,0.18,1.49,12.1,12.3,12.1,12.12,951201,11605192.0
103,01030,新城发展,2.06,0.03,1.48,2.03,2.06,2.01,2.03,15798571,32181922.0
104,02009,金隅集团,0.69,0.01,1.47,0.69,0.7,0.68,0.68,7698000,5300000.0
105,02880,辽港股份,0.7,0.01,1.45,0.7,0.7,0.69,0.69,518000,360720.0
106,00696,中国民航信息网络,11.48,0.16,1.41,11.22,11.48,11.22,11.32,3175050,36205292.0
107,06666,恒大物业,0.73,0.01,1.39,0.72,0.73,0.72,0.72,4820500,3495790.0
108,00152,深圳国际,7.31,0.1,1.39,7.27,7.31,7.16,7.21,13887743,101102657.0
109,01876,百威亚太,8.74,0.12,1.39,8.7,8.76,8.57,8.62,32775849,284887808.0
110,01157,中联重科,5.84,0.08,1.39,5.74,5.88,5.74,5.76,6937683,40477460.0
111,00941,中国移动,87.9,1.19,1.37,87.0,88.8,87.0,86.71,29252751,2572398752.0
112,00267,中信股份,10.4,0.14,1.36,10.26,10.5,10.26,10.26,39015741,405483664.0
113,02460,华润饮料,13.48,0.18,1.35,13.28,13.7,13.2,13.3,4134800,55941831.0
114,00548,深圳高速公路股份,6.77,0.09,1.35,6.7,6.77,6.69,6.68,1800221,12138767.0
115,01772,赣锋锂业,20.25,0.27,1.35,20.1,20.5,19.88,19.98,4571984,92501868.0
116,02669,中海物业,5.28,0.07,1.34,5.21,5.29,5.21,5.21,3516345,18408548.0
